t,censored,totredeem,prevcat,prefood,pregas,prebank,preretail,preother,prebonus,baselen
1,0,120,entertain,2.474891663,0.041606873,0,0.146341443,0.02008608,2.292682648,697
4,0,10265,entertain,0.590361118,0.340184212,4.588943481,0.001417434,0.014174342,0.588234901,1411
479,0,5820,travel,0.094713628,0.75881052,3.993391037,0.02312775,0.02202642,0.361233473,908
54,0,3420,travel,1.167629242,0.123314023,4.134872437,0.142581821,0.019267812,0.468208075,519
158,0,35525,merch,21.50566101,0.012747869,1.696175575,0.02903682,0.009206794,18.98300171,1412
226,0,17596,travel,0.038235277,0.020588234,0.394117594,0.011764705,0,0.008823529,340
77,0,31897,merch,1.200677872,0.375593185,14.33830261,0.448813438,0.546440601,1.482711792,1475
158,1,3500,cert,0.11562717,0.706376553,0,0,0.05395934,0.38962841,1427
3,0,13523,merch,2.468833923,0.787940025,6.391597748,0.095528424,0.311652899,2.588075638,1476
258,0,23820,entertain,0.506042004,0.509818554,7.077037811,0.273413897,0.117824733,0.99471283,1324
41,0,106620,cert,9.798187256,0.459290028,59.86846924,0.859429359,0.212247729,8.786354065,1437
349,0,1605,travel,0.649484158,0.002577318,0.083762884,0.510309219,0.117268026,0.349226713,776
1,0,14581,travel,0.554012299,0.000771605,5.230709076,0.412808418,0.500771523,0.467592478,1296
1052,1,360,entertain,0,0,0.050561786,0,0,0,534
53,1,1025,travel,0.462589264,0.373454571,3.139230728,0.035133362,0,3.147039414,1537
11,0,19585,cert,10.08460999,0,4.12179184,0.126922965,0.332051277,9.410255432,780
619,1,3900,travel,0.717597008,0.147523642,0.546891213,0.264488936,2.508955002,1.167544365,949
402,0,24494,travel,0.075604796,0.043346763,10.66431427,0.182459593,0.116935432,0.110887051,992
45,0,32918,travel,13.08595276,0.045275569,5.985561371,1.106954575,0.08727032,12.92453766,1524
224,0,7690,cert,0.540137291,1.128439903,7.442657471,0.370412827,0.086009145,0.89105463,872
136,0,6065,travel,1.323712349,0.193447709,1.706707954,0,0.010140404,1.220747948,1282
658,0,925,entertain,7.375,0.130681753,0,0.45454526,0.034090906,6.403408051,176
11,0,26441,travel,0.030880407,0.030223385,11.73061371,0.090670168,0.875164032,0.812746048,1522
135,0,10300,merch,0.728999615,0.552999973,4.466999054,0.011999995,0,0.664999962,1000
267,0,3200,merch,0.030621171,0.016622916,2.954504013,0.034995616,0.223971963,0.112860858,1143
1036,1,675,entertain,0.026929975,0.064631939,0.052064627,0.044883281,0.007181328,0.048473954,557
714,0,10800,merch,0.205918551,0.098643601,6.706531525,0.056720078,0.406904936,0.294697762,811
367,0,3524,travel,0.000840336,0.01932773,3.34201622,0.005882353,0.032773107,0.01932773,1190
51,0,5090,cert,0.952879429,1.255796433,1.231114388,0.141361237,0.213163734,1.963350296,1337
182,0,1905,travel,0.024999991,0.099999964,2.274999619,0.074999988,0,0.049999982,40
6,0,22825,travel,0.766710281,0.74115324,12.82568359,0.121887267,0.044560939,1.140235901,1526
111,0,1865,cert,0.194864035,0.062688768,1.146525383,0.042296052,0.001510574,0.117824733,1324
1041,0,7525,cert,2.57034111,0.916349411,6.730037689,0.334600687,0,2.665397644,526
738,1,3600,travel,0.481042624,0.055687189,0,0.005924169,0.058056861,0.260663271,844
276,0,26211,travel,3.547340393,1.093852997,13.52823639,0.151993275,0.465946674,4.38205719,1204
46,0,8750,merch,6.929195404,0.601459503,6.759120941,0.36642313,0.071532846,6.639415741,1370
292,0,1360,cert,0.808377743,0,0,0.012477718,0.179144383,0.34581089,1122
51,0,13530,merch,0,0,7.277317047,0,0,4.309455872,1089
1458,1,1500,merch,0.089552224,0.089552224,0,0.126865625,0.761193752,0.522387981,134
260,0,9124,travel,1.605769157,0.030769229,3.752883911,0.068269193,0.108653843,1.297115326,1040
6,0,6575,cert,0.107188702,0.213093638,0.679717541,0.277278423,0.876122952,0.971116543,1558
160,0,37954,travel,2.256254196,0.980154991,19.2571106,7.267471314,0.613459587,6.43744278,1159
774,0,6525,merch,0.078055918,0.176730394,4.717227936,0,0.47128129,0.268041134,679
160,0,200,cert,7.62071991,0.74144125,0,0.236035943,0.158558488,7.389186859,1110
1491,1,1200,merch,0.149999976,0,0,0.049999982,0,0.016666666,60
820,1,1600,merch,0.068241417,0.25328064,0.604986668,0.03937006,0.041994751,0.140419841,762
130,0,15973,travel,0.708814621,0.455202103,5.283958435,0.836704731,0.091040433,0.701589584,1384
1232,1,13400,travel,0.467048645,0.41833806,6.32378006,0.616045475,11.73925018,0.332378149,349
825,1,5700,travel,1.993437767,0.034120709,2.71916008,0.31233573,0.106299162,1.591862679,762
115,0,10096,cert,2.419607163,1.698039055,22.65881348,0.363725424,11.12156677,3.127450943,1020
187,0,18136,travel,2.741796494,0.159771681,5.82881546,0,0.171897173,2.338087082,1402
385,0,9100,merch,0.022482008,0.403776884,3.082733154,0.027877688,0.028776974,0.241906405,1112
326,0,4300,travel,0,0,4.14956665,0,0,0.041503519,1277
475,1,1260,travel,0.110215008,0.23745513,0.462365389,0.071684539,0.001792114,0.210573435,1116
42,0,12550,travel,0.02522935,0.096330226,7.576831818,0.613532066,0.086009145,0.338302612,872
525,0,3000,cert,0.871578693,0.806315422,2.027366638,0.004210524,0.084210515,0.808420658,475
55,0,7615,cert,0.021386907,0.649384022,3.000646591,0,0.001296176,0.46856761,1543
21,0,5500,travel,0.176564932,0.286516666,4.179775238,0.004815407,0.000802568,0.251203775,1246
1,0,1250,travel,0.105549455,0.004352555,0.386289358,0.023939058,0,0.053318799,919
213,0,6665,entertain,0.068131864,0.803296566,3.802196503,0.09560436,0.128571391,0.453845978,910
181,0,11285,merch,0.361581802,0.54075861,7.891845703,0.176755428,0.126715064,0.63115406,1239
219,0,14906,travel,0.112557411,0.519142151,12.36216736,0.019908115,0.001531393,0.434915543,1306
1375,1,1300,travel,0.246445417,0.014218003,0.55450201,0.009478666,0,0.085308015,211
571,0,14494,travel,0.203285337,0.287474155,10.82853699,0.066735089,0.029774115,0.298767805,974
22,0,11650,merch,1.563389778,0.517806053,6.195156097,0.658119202,0.071225047,0.826210499,1404
591,1,775,cert,0.051256269,0.022110552,0.03517586,0.018090442,0.857285976,0.209045172,995
246,0,24535,travel,0.265998364,0.629143715,10.19351959,0.023901299,0.776406765,1.301464081,1297
189,1,4650,travel,2.099002838,0.170227885,1.311253548,0.193732142,0.025641024,1.262820244,1404
1471,1,10600,travel,0,0,0.695652008,0,18.96520996,0.260869503,115
1365,1,2600,travel,0.325892687,0,0,0.013392851,0.580357075,0.022321418,224
337,0,1720,travel,0.269547224,0.806584358,5.676952362,0.109053493,0,0.434156179,486
1040,0,750,merch,0.056338012,0,1.59154892,-0.056338012,0,0,71
48,0,6450,travel,0.085714281,0.114285708,27.99142456,2.588569641,0.008571424,0.597142696,350
1270,1,11000,travel,0.006329112,0,1.88607502,0.006329112,0,0,316
723,0,1800,travel,0.226950288,0,1.368793488,0.017730489,0.18794322,0.198581457,282
769,0,16515,travel,0.153488278,0.725581169,5.097671509,0.880620003,0.262015343,0.52558136,645
284,0,8260,cert,1.302130699,0.086190879,4.652454376,0.054680258,0.234476328,0.809082031,1079
197,0,1530,travel,0.001326259,0.002652519,0.640583515,0.799734592,0.023872674,0.010610074,754
1200,1,8000,merch,0.0078125,8.1171875,0,1.088541031,0.015625,0.453125,384
1194,1,6600,travel,0.035623401,0.002544528,1.076334953,0.002544528,0,0.02798982,393
88,0,81610,cert,0.442979336,0.623599052,32.71191406,2.349372864,0.36255765,2.392879486,1517
276,1,3200,cert,1.057926178,0.419207096,0,0.042682916,0.048018277,0.521341324,1312
398,0,12775,travel,0.18916595,0.300085783,5.996559143,0.004299223,0.433361769,0.460876942,1163
163,0,2825,merch,0.040590406,0.008302577,3.048892975,0.22324717,0.009225085,0.035055339,1084
9,0,25175,entertain,0.298639298,0.681632519,8.447616577,0.078231275,0.437414885,1.364624977,1470
156,0,5560,merch,1.622536659,0.02048856,2.363277435,0.426319838,0.149724126,1.833726883,1269
729,1,3935,travel,0.222737789,1.267980576,1.313224793,0.365429163,0.116009235,0.725057602,862
2,0,1650,travel,0.333333254,0,0,0,0,0,3
346,0,1400,cert,0.261971712,0,2.847887039,0.007042252,0.00140845,0.357746363,710
295,0,1795,cert,0.097415507,0.117296219,2.192842484,0.0139165,0,0.097415507,503
6,0,3805,cert,2.329956055,0,0.849493027,0.181620836,0.003617944,1.578870773,1382
412,0,790,cert,0.556319714,0.169389486,0.300945759,0.058469474,0.000859845,0.342218399,1163
1521,1,1100,travel,0.264705658,0,0,0,0,0.088235259,68
11,0,52179,travel,0.120117903,0.840088368,36.09799194,0.014001474,0.041267484,0.681650639,1357
66,0,695,entertain,0.141368985,0.005952381,0.084077358,0.075148761,0.116815448,0.137648702,1344
68,0,6250,merch,2.413265228,0.339649916,7.481777191,0.095481038,0.289358378,2.634109497,1372
1571,1,1750,travel,,,,,,,
382,0,2176,travel,0.543087959,0.000897666,2.948831558,0.026032314,0.001795332,0.164272785,1114
1267,0,2150,cert,0.33550477,0,0,0.117263794,0,0.006514657,307
154,0,2105,cert,0.161445737,1.084337235,0.629718781,0.118072271,0.062650561,0.721284866,1245
621,0,8350,merch,0.067567527,0.002252251,4.774772644,0.117117107,0,1.984233856,444
1249,1,6750,cert,0.371681213,0.038348079,2.073745728,0.01179941,0,0.041297913,339
23,0,765,travel,0,0.071428537,1.428570747,0,0,0,14
378,0,995,entertain,0.034482747,0,6.46206665,0,0,0.013793103,145
1323,1,810,travel,0,0,0,1.05416584,0.208333254,0.008333333,240
524,1,5800,merch,0.382297516,0.509416103,2.803199768,0.021657243,0.075329542,0.52636528,1062
149,0,10171,travel,1.530465126,0.211469531,8.26953125,0.063799262,0.096774161,1.09247303,1395
28,0,12443,travel,0.398789406,0.063214481,5.275047302,0.082716823,2.193677902,0.509078503,1487
1549,1,3000,travel,0.205128193,0,4.461536408,0,0.051282048,0,39
124,0,4360,travel,1.437094688,0.209201932,0,0.038102061,0.02372393,0.721782684,1391
1285,1,4800,travel,0.175895691,2.289901733,2.690553665,0.146579742,0.022801295,1.221497536,307
141,0,44117,merch,13.07566071,0.379686356,7.628490448,0.237900376,0.367416382,12.8425293,1467
230,0,4950,travel,1.199848175,0.028009072,1.860711098,0.255866766,0,0.249810696,1321
7,0,760,cert,0.314696312,0,0,0.512779236,0,0.177316189,1252
157,0,7945,travel,0.131970167,0.115241587,6.5,0.009293675,0.278810263,0.286245346,538
299,0,800,travel,0.090452254,0,2.758792877,0,0.160803914,0.050251246,199
203,0,8150,merch,0.044364482,0,5.497600555,0.311750412,0.073141456,0.118705034,834
975,1,6000,travel,0.074675322,0.801947594,5.288959503,0.449675322,0.051948041,0.538960934,616
1103,1,1768,travel,0.060669452,0,2.376567841,0.018828452,0,0.039748937,478
1162,0,2200,travel,0,0,5.625,0.839285374,0,0.732142448,56
361,0,9505,cert,1.435091972,0.318116903,6.258201599,0.142653346,0.004279599,0.747503281,701
437,0,395,cert,0.109649122,0,0.464912176,0,0,0.070175409,228
301,0,6855,cert,0.674207687,0.809049606,2.780994415,0.358371019,1.06515789,1.388235092,1105
32,0,9325,travel,0.776558876,0.166552424,8.883476257,0.001370802,0.095270693,0.629883289,1459
97,1,9400,travel,0.950534344,0.01403743,1.52874279,0.553475857,0.10561496,0.748662949,1496
780,0,1260,cert,1.752746582,0.538461208,0.181318641,0.09065932,0,1.266483307,364
155,0,7900,merch,0.292307615,0.139194131,1.620512009,0.43443203,0.046886444,0.248351574,1365
193,1,4950,travel,0,0.142139196,2.881549835,0,0,0.0789662,1393
50,0,695,entertain,0.18882978,0.008643612,0.628324032,0.005984042,0.001329787,0.065159559,1504
1,0,1625,travel,0.04369536,0.198501825,0,0.066167235,0.007490635,0.126092315,801
591,0,10200,travel,0.563463688,0.119810164,5.106758118,1.395017624,1.032028198,2.909845352,843
950,0,1800,travel,0,0,184,0,0,0,1
4,0,11065,travel,0.986823559,0.173370242,4.729541779,0.034674048,0.269764185,0.743411541,1442
720,1,175,entertain,0,0.04406777,0,0.444067717,0,0.203389764,295
1481,1,1350,travel,0.409090757,0,0.445454359,0,0.190909028,0.018181816,110
60,0,20500,cert,0.24582696,0.477996826,9.981025696,0.167678237,0.477996826,0.795902729,1318
942,0,6000,travel,0.26112175,0.32881999,7.588005066,0.015473887,1.663442612,0.386847019,517
871,1,350,entertain,0.025387868,0.036671341,0.022566989,0.05782792,0.01974611,0.012693934,709
18,0,8135,cert,0.826402187,0.283168316,2.512210846,0.064026356,0.034983486,0.646864414,1515
1,0,1100,travel,0.021186426,0.076271176,0,0.029661015,0,0.025423721,236
477,0,2200,merch,0,0.002717391,1.436141014,0,0,0.002717391,736
1367,1,1600,travel,0.048888862,0,0.617777348,0.008888885,0.022222221,0,225
359,0,16200,merch,0.473443031,0.058608055,17.22068787,0.122710586,0.027472526,0.220695853,1092
357,1,1920,travel,0.82548666,0.041396081,0,0.08116883,0.039772719,0.577921867,1232
624,0,2450,merch,0.132516623,0,0.897550106,0.005567927,0,0.074610233,898
192,0,4872,travel,0.404553413,0.779334068,4.402801514,0.094570875,0.222416759,0.711908817,1142
1448,1,4600,merch,0,0,1.574467659,0,0,0,141
55,0,4875,cert,0.078459323,0,0.443651915,0.005706132,0,0.035663337,701
99,0,7325,cert,2.643081665,0.016509429,0.246855259,0.029874206,0.062893033,2.338834763,1272
842,1,3690,entertain,0,0.013432831,1.8447752,0,0,0.013432831,670
376,0,3350,cert,0.281898975,0.048466861,1.535113335,0.073194802,0,0.19980216,1011
457,0,16560,travel,3.030878067,1.089073181,11.72802734,0.092636526,0.137767196,2.179334641,842
953,1,7200,travel,0.012578614,0.084905624,4.902515411,0.012578614,0,0.017295584,636
127,0,5810,cert,0.736804962,0.035890192,2.919773102,0.098522127,0.216045022,0.761435509,1421
103,0,225,entertain,0.116094947,0.005277041,0,0,0.002638521,0.021108165,758
32,0,3540,travel,0.153684139,0.009824559,1.14385891,0,0.035087705,0.096842051,1425
81,0,16793,entertain,1.101831436,1.610988617,8.40145874,0.641757965,0.601464748,2.027105331,1365
185,1,2775,travel,1.671908379,0.671908379,10.8598938,0.10578984,0.021443874,1.385989189,1399
1467,1,6300,travel,0,0.106557369,8.934425354,0.008196719,0,0.049180299,122
302,0,11825,merch,4.126312256,0,2.445112228,0.036090225,0.060150355,3.690223694,665
1537,1,1550,travel,0,0.195652127,3.108694077,0,0,0.130434752,46
303,0,15920,travel,0.433849812,0.048867673,3.806911469,0.289630413,0.048867673,0.175208569,839
540,0,4960,travel,1.241757393,0.071428537,8.243583679,0.311355114,0.620878696,1.712453842,546
448,0,8000,travel,3.927417755,1.298386574,3.161289215,0.524193287,0.04838708,4.701610565,124
170,0,8800,merch,0.003619909,0.606334686,7.282352448,0.461538315,0.186425328,0.855203152,1105
738,1,6160,travel,0.005882353,0.316470385,1.734117508,0.078823507,0.84823513,0.482352734,850
169,1,1400,cert,0.084388137,0.376933813,0.895217896,0.033755273,0.036568195,0.184247494,1422
352,0,1125,cert,0.015384615,0.059615374,1.14615345,0.002884615,0,0.041346133,1040
136,1,1900,merch,0.440194607,0.00069541,0,0.053546578,0.00069541,0.319888592,1438
278,0,5300,merch,0.305990696,0.346543551,3.814744949,0.144700408,0,0.37419343,1085
234,0,7360,merch,2.332923889,0.179926515,10.93634796,0.086903274,0.019583836,1.150549889,817
1141,0,2065,travel,0,0.105263114,0.447368383,0.114832521,0,0.011961721,418
6,0,21243,cert,2.399869919,0.031551808,2.214422226,0.013522208,0.037347049,2.173856735,1553
758,1,3750,cert,0.149397492,0.265060186,5.963851929,0.148192763,0.259036064,0.122891545,830
32,0,2205,merch,1.316421509,0,0.845126629,0.008010678,0,1.025366783,749
728,0,550,entertain,0,0.040139616,0.617800713,0,0,0.012216404,573
871,1,1440,cert,0.127094865,0,0.241620064,0.069832385,0.122905016,0.082402229,716
8,0,34212,travel,0.063055039,0.11012429,11.59413147,0.083481312,0.192717552,0.260213137,1126
136,0,12345,travel,1.498535156,0,4.615665436,0.002196193,0.259150744,0.504392147,1366
155,0,3175,travel,2.450046539,0.008563273,6.340625763,0.06945765,0,1.799238205,1051
794,0,3525,travel,1.469286919,0.040540516,0.917690277,0.058968037,0.031941026,1.018426895,814
232,1,1100,travel,1.347088814,0.607221603,3.497419357,0.13706696,0.109064102,1.820191383,1357
35,0,3760,cert,0.592850685,0.005231034,1.200522423,0.156059265,0.187445402,0.414123774,1147
1032,1,2750,merch,0,0,2.418046951,0,0,0,543
299,0,3000,cert,1.189910889,2.014835358,7.210681915,0.329376698,0.783382416,2.160236359,337
241,0,2310,entertain,2.186454773,0.014842294,0,0.009276435,0.017625228,1.191094399,1078
1112,1,750,merch,0.036956519,0.104347825,1.689129829,0.004347824,0,0.032608688,460
1212,1,1400,travel,0.050131917,0,1.044854164,0,0,0,379
246,0,1445,travel,0,0.105263114,2.150876999,0.02456139,0.115789473,0.077192962,285
42,0,15325,merch,1.23160553,0.082533538,1.232245445,0.720409393,0.119001865,0.695456982,1563
25,0,16200,cert,3.52614212,0.285403013,3.542482376,0.044662297,0.0620915,3.610021591,918
1017,0,4175,merch,1.662613869,0.006079026,1.969604492,1.826746941,0.015197568,1.580546379,329
115,1,5900,merch,2.33446312,0.078018963,2.542060852,0.040705562,0.159430027,2.263227463,1474
21,0,8870,entertain,0.069405079,0.439093351,7.941215515,0.309489965,0.307365418,0.805948734,1412
487,1,175,entertain,0.051724136,0.041187733,0,0.067049801,0,0.028735623,1044
210,0,10325,travel,0,0,1.913043022,0,0,0,46
144,0,1840,cert,0.765490055,0.007843137,0.430588007,0.014901958,-0.213333249,0.132548928,1275
274,0,445,cert,0.123546481,0,0.011627905,0.004360464,0,0.0625,688
55,0,2625,travel,0.267880201,0.007802337,0.364759207,1.017555237,0.026657984,0.540962219,1538
338,0,350,entertain,0.332624674,0.107332587,0.643995285,0.139213562,0.062699199,0.108395279,941
59,0,7720,cert,0.0844841,1.07879734,3.201461792,0.415921927,0.131600261,0.216896772,1231
23,0,3690,entertain,1.64004612,0.013888888,0.597221851,0.35532403,0.332175732,1.166666031,864
194,0,4280,merch,0.011594199,0.327536106,0.255072355,0.031884044,3.678260803,0.113043428,345
2,0,9967,cert,1.96722889,0.318768501,4.784507752,0,0.137040615,2.002977371,1007
8,0,1095,entertain,0.001172332,0.726846218,0.888628006,0,0.003516998,0.021101981,853
18,0,2380,cert,0.137424946,0,0.850566864,0.327551603,0.002668444,0.146764398,1499
139,0,13768,merch,0.422173262,0.074889839,6.779735565,0.220264316,0.329662085,0.63142395,1362
243,0,11650,cert,3.764902115,0.003358521,0.252728701,0.166246772,0.246011734,1.593618393,1191
224,1,775,merch,0.051938534,3.094366074,2.079004288,0.136795878,0,1.258229256,1367
1192,1,1400,cert,0.921052456,0.059210509,0,0,0,0.717104912,152
578,0,805,entertain,0.428143501,0.000998003,0.079840303,0.00598802,0.083832324,0.188622713,1002
1400,1,3950,travel,0.142857075,0,2.725273132,0,0.181318641,0.153846145,182
692,0,4131,travel,0.034035653,0.027552664,2.3614254,0.001620745,0.011345215,0.053484589,617
307,1,75,cert,0.256230354,0.446261644,1.50155735,0.072429895,0.271806717,0.755451679,1284
100,0,3475,cert,1.011026382,0.002756719,0.942108631,0.115092993,0.073742211,0.966229916,1451
27,0,8510,cert,0.128818035,0.312748909,4.808097839,0.024568379,0.006640103,0.278220415,1506
104,0,12951,travel,0.815677643,0.048728794,4.995761871,0.016242936,1.090394974,0.858050823,1416
417,0,2365,cert,0.087064624,0.013681591,2.284824371,0.300994873,0,0.113184035,804
217,0,3000,travel,0,0,4.278842926,0,0,0,208
1051,1,5515,travel,0.961111069,0.005555555,0,0,0.222222209,0.377777576,540
44,0,16614,travel,0.869623184,1.702284813,10.09475708,0.033602148,0.12768817,1.692203522,1488
156,0,1440,entertain,0.097616315,0.006810442,1.855845451,0.038592488,0.001135074,0.206583381,881
256,0,2880,cert,0.091139197,0.09198308,0.920674801,0,0,0.044725716,1185
467,0,21785,entertain,1.039318085,0.193971157,11.86762238,0.066841364,0.010484926,0.364351034,763
42,0,7750,merch,2.093332291,0.25052619,2.713684082,0.303157806,1.032981873,2.019647598,1425
91,0,2450,merch,0.159059405,0.011065006,1.962655067,0.059474409,0.008298755,0.070539415,723
232,0,2100,cert,0.623100281,0.201367736,2.795591354,0.120820642,0.215045571,0.647416115,1316
191,0,15945,entertain,0.403093576,0.875340939,6.848953247,0.324840546,0.019108266,0.878070831,1099
888,0,1260,cert,1.611813545,0.043600559,0,0,0,0.793248653,711
91,0,4380,merch,0.003968254,0.312169075,5.044971466,0.234126926,0,0.158730149,756
634,0,200,cert,0.277566433,0.10266155,0.380228043,0.015209124,0,0.501900673,263
685,0,2585,cert,0.45562911,0.003973506,2.290065765,0.027814567,0,0.08874172,755
61,0,8300,cert,2.193740845,0.15645802,4.818904877,0.041944057,0.012649797,0.261651039,1502
549,0,4760,travel,0.001808317,0.014466539,3.915008545,0.005424954,0.050632894,0.009041585,553
103,0,16075,merch,1.029748917,0.004732925,9.015548706,0.036511153,0.01419878,0.44895196,1479
998,1,1000,merch,0,0,1.220910072,0.070826292,0,0,593
199,0,6495,travel,0.436822891,0,6.908302307,0.012274362,0.153790593,0.252707481,1385
646,0,2505,cert,1.002441406,0.015873015,1.503051758,0.015873015,0.006105006,0.792429447,819
795,0,7500,travel,0,0,1,0,0,0,4
410,0,1670,cert,0.049999982,0,0.949999809,0,0,0,140
1574,1,3050,merch,0.3125,0.0625,0.8125,0,0,0,16
661,0,900,cert,0.026666656,0.035555542,1.324443817,0.128888845,0,0.017777771,225
38,1,1475,travel,0.749176979,0,0.368005037,0.094799161,0.038841337,0.773534775,1519
338,1,2275,merch,0.160546541,0.011101618,0.713065624,0.008539707,0.014517501,0.083689153,1171
286,0,4505,merch,0.39943862,0.018709064,5.642654419,0.540691853,0.014031805,0.066417158,1069
746,0,2850,merch,0.03396225,0,1.855345726,0,0,0.015094332,795
791,1,4000,merch,0.139825106,0.440699101,1.338326454,0.083645403,0.032459408,0.181023717,801
188,0,11475,travel,3.198554993,0.194043279,5.318588257,0.093862772,0.425992727,3.262634277,1108
948,1,1400,cert,0.265402794,0.00789889,0.159557581,0.012638226,0,0.176935196,633
312,0,1040,cert,0.344508648,0.009248555,0.10057801,0.078612685,0,0.048554897,865
115,0,9685,cert,2.176635742,0.034482747,2.969738007,0.413793087,0.068965495,1.639689446,1421
22,0,3200,travel,0.376727104,0.303999901,2.438545227,0.062545419,0.014545448,0.376727104,1375
336,0,7820,cert,0.03209874,0.007407405,7.88394928,0.25432086,0.0530864,0.012345672,810
272,1,2255,cert,0.591605663,0,0.594834328,0.01210653,0,0.16707015,1239
652,0,2500,merch,0.015783534,0.006764371,1.976324081,0.075535476,0.0248027,0.032694459,887
1186,1,1400,merch,0.734643459,0.599508286,0,0.073710024,0,0.69041729,407
1173,0,450,merch,0.105442166,0,0.319727659,0.081632614,0,0.0170068,294
1287,1,1050,travel,,,,,,,
1329,1,200,cert,0.011999995,0.047999978,0,0.159999967,0,0.023999989,250
213,1,1833,travel,0.000728332,0,1.292789459,0.001456664,0.038601577,0,1373
314,0,2050,travel,0.106849313,0,1.216438294,0.115068436,0.268492937,0.095890403,365
368,0,2960,cert,0.084024847,0.002074689,1.726140976,0,0.048755169,0.06327796,964
258,0,1350,travel,0,0.006430868,0.191318274,0,0.078778088,0,622
924,0,5225,cert,2.93944931,0.598165035,0.563302517,0.22752285,0.348623753,2.422018051,545
436,1,1800,travel,1.093586922,0.00866551,0.058058918,0.029462725,0.006065857,0.971403599,1154
842,1,2800,cert,0,0,0.537837505,0,0,0,740
612,0,560,cert,0.429276228,0,0.09210521,0.001644736,0.24671042,0.4029603,608
589,0,13760,travel,0.235714197,0.148571372,5.925712585,0.059999973,0.03285712,0.315714121,700
397,0,6825,travel,2.887462616,0,4.374641419,0.153846145,0.038461536,2.438745499,702
202,0,3160,travel,0.368648529,0.234594584,4.15675354,0.025945932,0.062702656,0.351351261,925
982,1,3525,cert,0.711696625,0.401976824,2.548599243,1.072486877,0.07742995,0.846787453,607
1074,1,2100,merch,0,0,0,0.246781111,0,0,466
768,1,560,cert,0.108527124,0,0.40826869,0.014211886,0.005167957,0.074935377,774
36,0,3130,entertain,0.607083798,0.088962078,2.80560112,0.272652388,0.261943817,0.450576544,1214
492,0,5850,travel,0.626644611,0.53125,3.287828445,0.072368383,0.21710515,0.700657845,608
307,1,1750,travel,1.452417374,0.000780031,0.239469528,0.106084228,0.024180964,0.932137013,1282
127,0,3470,cert,1.951760292,0.0459418,0,0.254211187,0.001531393,1.52909565,1306
89,0,5565,cert,1.449632645,0.036691099,0,4.420944214,0.000667111,4.070713043,1499
121,0,11656,travel,0.116932392,0.791192055,5.680332184,0.09111613,0.604403496,1.571753502,1317
463,0,1700,merch,0,0,1.343914986,0,0.150793552,0,756
447,0,3875,travel,3.23333168,0.532432079,1.189188957,0.294594526,0.081981957,3.2018013,1110
723,0,1400,cert,0.162629724,0,0.624567032,0.188581228,0,0.050172985,578
52,0,49104,travel,11.33527374,0.319066048,15.40855408,0.613488674,0.152399421,11.88650513,1542
1278,0,2320,entertain,0.043859631,0.035087705,0,0,0,0.008771926,114
2,0,1855,cert,0.345813274,0.184479237,0,0.074200094,0,0.279782057,1469
45,0,3080,cert,1.465937614,0.217223644,0,0.064909995,0.104755759,0.960796833,1556
6,0,1530,cert,0.145675182,0.153262496,1.411229134,0.039453715,0.045523495,0.159332275,659
