No.,capital,labor,output
157,1.2716757,44,7.3325862
158,0.41695098,30,1.34455536
159,0.70524705,34,2.92733301
160,0.97569504,80,3.78602397
161,6.32714436,100,5.35392822
162,34.52091351,642,79.04840265
163,8.87495778,108,8.58666171
164,1.65540942,76,2.81528673
165,0.30217791,171,4.25924598
166,9.70340616,282,24.50665329
167,7.50239085,239,16.64705295
168,0.5379213,29,1.17202392
169,0.83315829,61,3.39311832
170,0.57609636,81,3.95087082
171,1.31927058,33,2.04806718
172,2.28257112,157,10.28322087
173,2.09392683,35,2.4466743
174,46.14868974,938,108.7778504
175,1.54732938,180,9.21208818
176,23.78876385,673,26.24039595
177,1.67499273,42,2.77587222
178,1.19433402,63,1.98510312
179,12.28220583,280,9.37172934
180,7.21434267,134,2.63234391
181,2.31677994,211,9.0455061
182,0.55552149,89,7.27730673
183,2.16234447,80,5.32442931
184,5.7113856,170,7.79415738
185,1.52030937,14,1.37281482
186,2.90948493,100,5.02894443
187,0.86687133,19,1.08947655
188,31.64613318,1780,95.81270757
189,5.1932955,157,15.95593563
190,1.19334246,282,11.82113043
191,93.2760492,877,58.33397058
192,3.06863031,347,12.65602395
193,2.24712285,42,2.98657872
194,1.660863,98,8.0241993
195,0.32622324,35,1.88941758
196,6.08644317,273,19.38623745
197,4.8288972,46,3.5324325
198,0.01388184,429,11.22074085
199,1.26647001,99,5.83904895
200,8.45255322,209,7.12832484
201,2.87750712,184,6.18336816
202,12.54422556,385,25.27907853
203,4.2785814,105,8.77257921
204,1.25853753,61,3.35742216
205,5.74683387,162,13.52438262
206,17.20455756,155,18.2570985
207,66.38915613,818,48.07801761
208,0.75482505,26,3.15787071
209,2.18936448,212,20.1955983
210,9.01451985,164,7.1739366
211,8.47436754,145,14.05214043
212,1.06196076,61,4.02846039
213,2.06913783,183,6.11891676
214,2.40354144,92,3.50888295
215,0.04139763,22,0.59344866
216,1.49601615,37,1.38421776
217,12.245766,369,24.28776642
218,27.34350645,1237,78.73184712
219,2.45857302,141,6.59610501
220,0.21194595,20,1.07410737
221,2.64771309,195,9.00286902
222,15.66292965,1,4.01557011
223,3.50615616,14,2.90973282
224,7.41909981,50,13.5248784
225,3.39485355,66,8.6637555
226,6.19303587,204,9.742077
227,12.37913082,939,36.03651297
228,0.24268431,5,0.35002068
229,1.70573109,38,5.38813704
230,4.48085964,86,5.44515174
231,4.22280615,69,6.6409731
232,0.04015818,66,2.83710105
233,0.10262646,37,1.64326281
234,23.1752361,534,27.79714515
235,2.07607875,93,3.73099239
236,3.81180453,101,4.54060113
237,0.65393382,151,4.89359649
238,2.05847856,23,1.24787826
239,0.41075373,53,2.20225476
240,2.67349365,189,7.461489
241,0.63782097,18,2.70720669
242,1.23870633,50,2.35148454
243,2.2954614,248,6.75401094
244,4.96895505,36,0.74317422
245,15.94403691,262,18.80543118
246,23.26298916,411,30.89874483
247,17.30470512,433,40.27493619
248,1.75283019,47,4.08993711
249,7.4342211,122,5.58025179
250,0.90182382,99,4.30262673
251,0.01189872,1,0.86166564
252,1.42363227,43,1.70870577
253,0.99478257,233,12.1193421
254,19.20428619,517,33.75220662
255,0.19608099,45,1.45561008
256,0.01388184,3,0.12939858
257,0.16955676,19,1.09269912
258,0.93181851,44,2.32148985
259,1.63037253,40,2.47939578
260,1.97617908,16,1.87231317
261,1.23895422,40,2.22506064
262,10.28396454,377,14.05685034
263,6.54727068,74,4.1769465
264,3.81849756,94,4.17595494
265,0.34109664,9,0.8081214
266,2.09640573,313,13.65923478
267,7.84001703,217,18.86864313
268,2.00171175,102,5.61049437
269,0.28383405,33,1.72928064
270,0.44248365,2,0.28879185
271,2.61375216,160,6.40349448
272,1.46478201,77,4.58720445
273,2.50220166,83,2.66903163
274,31.22050605,170,12.53307051
275,1.95287742,216,10.12159659
276,3.65712117,52,3.89212089
277,0.73995165,50,2.15118942
278,1.63979235,216,8.8298418
279,3.43253283,132,7.23987534
280,0.36638142,13,2.60334078
281,2.80710636,89,3.3564306
282,61.93630806,283,48.66155067
283,2.59119417,65,3.42360879
284,9.71629644,157,16.34983284
285,13.08065952,390,17.42146131
286,6.24509277,1162,35.57072766
287,0.21145017,24,1.54906461
288,0.38026326,97,4.42830696
289,61.7816247,2092,121.08311
290,0.50048991,45,2.02650075
291,1.02552093,66,3.38493795
292,1.91073612,114,5.825415
293,2.78529204,45,3.70248504
294,3.09193197,71,4.00738974
295,3.44120898,172,10.30602675
296,1.16161254,47,2.56169526
297,1.52749818,113,5.19354339
298,10.03483509,376,17.62869735
299,1.69408026,44,2.25778212
300,1.13161785,194,5.16131769
301,1.56245067,66,5.04431361
302,0.00223101,2,0.38621262
303,0.34010508,53,2.16829383
304,7.71309735,226,15.93808755
305,3.69975825,309,11.99738022
306,1.02403359,151,4.81253646
307,5.40028365,44,5.49225084
308,0.9642921,31,1.29572103
309,0.71541054,11,0.51908166
310,1.65243474,56,5.09141271
311,1.63260354,83,3.81924123
312,2.04112626,264,9.96245121
313,0.04164552,8,2.10433821
314,6.75376305,108,5.66205549
315,5.70617991,267,13.38804312
316,0.12543234,20,1.08898077
317,6.67939605,175,9.16003128
318,0.52329579,78,2.98509138
319,1.46081577,127,5.2627047
320,2.2657146,178,5.58719271
321,0.95883852,57,2.85891537
322,3.86634033,157,12.4068945
323,13.11238944,312,17.13192579
324,9.51748866,26,1.16657034
325,0.7089654,171,4.83360711
326,0.59964591,31,1.21664412
327,6.72426414,270,21.21888822
328,7.48553433,64,5.41044714
329,1.24292046,49,1.85520876
330,2.05128975,28,2.84726454
331,2.77587222,92,7.77184728
332,2.107065,236,8.06584482
333,3.64175199,30,2.50294533
334,0.33142893,37,1.56988737
335,2.70621513,75,3.52797048
336,0.97767816,47,2.86858308
337,3.6588564,170,6.79292967
338,46.97143665,502,52.55738991
339,1.89536694,23,1.6286373
340,3.53639874,26,1.91891649
341,26.35095489,367,22.51931916
342,2.14548795,67,3.18687384
343,6.89481246,231,18.57241458
344,357.0099386,1273,156.3080311
345,0.96602733,53,4.17868173
346,8.29241628,66,6.79763958
347,1.83215499,30,4.80336453
348,4.55324352,278,24.98210631
349,1.7228355,48,4.30708875
350,2.9771589,28,1.57187049
351,0.7312755,46,2.1145017
352,1.63309932,332,28.68211245
353,3.25603515,188,5.90350035
354,1.65218685,580,86.62639995
355,6.57255546,69,27.45555273
356,2.49402129,107,5.37499887
357,0.01016349,3,0.02627634
358,9.07723602,156,5.49869598
359,1.2617601,137,5.52918645
360,1786.8992,10661,1279.371693
361,17.86369707,129,16.7648007
362,13.12924596,109,9.51550554
363,2.27761332,104,5.44341651
364,1.22036247,31,1.51262478
365,1.87330473,72,5.62561566
366,2.31355737,35,2.11078335
367,10.11763035,753,29.62880436
368,1.14847437,11,0.86885445
369,1.44817338,68,9.01179306
370,2.07880554,131,3.89410401
371,3.38221116,63,2.67250209
372,4.77064305,54,2.50170588
373,36.69441303,72,13.66196157
374,1.81009278,75,3.1085406
375,14.22665499,218,19.10042028
376,4.50316974,124,6.38886897
377,5.22676065,114,6.39903246
378,2.77711167,52,3.99499524
379,24.35246571,156,16.22563995
380,0.20004723,30,2.08153233
381,6.2146023,155,6.51603654
382,1.2344922,44,4.70445642
383,6.122883,118,6.00116901
384,1.12616427,125,10.08317364
385,4.78055865,242,10.48549911
386,1.7798502,29,2.61722262
387,9.46295286,44,4.85393409
388,0.54312699,127,7.58171565
389,1.20895953,35,1.51039377
390,8.08096611,168,10.91063046
391,15.3270387,427,18.83889633
392,10.17290982,205,41.5538007
393,2.81677407,43,2.76744396
394,0.61526298,41,1.64871639
395,6.13230282,124,6.74112066
396,11.60149989,462,29.03337258
397,13.34763705,120,18.21074307
398,2.90427924,142,9.4272567
399,2.03294589,165,9.57921327
400,0.22706724,48,1.08005673
401,7.84001703,108,3.67670448
402,1.8120759,75,2.89932144
403,1.22358504,18,1.660863
404,0.05032167,5,0.61129674
405,7.68062376,219,11.27577243
406,1.31927058,27,2.21663238
407,0.61575876,95,4.18140852
408,6.90076182,407,18.94499325
409,0.61922922,81,4.36831758
410,0.81258342,98,5.08843803
411,21.68640876,462,57.43437777
412,1.01064753,53,3.20571348
413,0.32771058,49,1.82868453
414,2.13705969,17,1.96353669
415,1.87330473,56,3.23719551
416,0.57113856,114,4.43574366
417,10.74256104,93,9.92328459
418,1.0262646,69,4.67470962
419,1.32546783,42,2.10557766
420,2.62738611,126,6.18138504
421,0.49701945,104,4.71561147
422,43.48213701,2059,209.1294238
423,4.16008998,155,7.99073415
424,9.79339023,67,4.03168296
425,3.80238471,48,3.5919261
426,1.66557291,91,6.78821976
427,35.60840694,1361,71.42925561
428,0.9320664,78,3.11126739
429,10.30057317,306,16.86767505
430,0.00322257,118,3.38320272
431,6.51132663,241,72.56186502
432,7.16377311,147,5.31203481
433,6.48901653,219,23.5098876
434,5.18065311,126,6.21088395
435,0.31283718,15,0.88695042
436,2.68762338,91,4.65264741
437,2.82693756,37,2.72951679
438,1.31183388,47,2.52624699
439,0.42959337,3,0.43207227
440,1.52130093,155,7.5680817
441,0.68095383,158,3.37725336
442,15.79133667,219,12.80029593
443,0.64401822,37,1.80414342
444,1.67871108,40,2.31975462
445,0.20351769,112,6.00166479
446,1.87429629,370,17.21719995
447,5.47514643,203,7.6374909
448,1.72556229,94,4.95185064
449,1.37157537,89,2.49972276
450,1.06072131,69,2.52302442
451,3.01483818,69,4.75576965
452,3.88394052,129,9.80429739
453,1.23374853,165,4.72998909
454,1.01114331,54,2.90254401
455,2.69183751,59,2.30909535
456,0.5899782,40,1.47915963
457,3.36188418,44,2.14821474
458,0.30044268,13,2.24018193
459,5.32071096,273,12.54744813
460,0.01710441,31,4.05969453
461,8.72622378,75,7.40769687
462,13.29037446,70,4.60257363
463,0.98288385,138,8.4381756
464,1.1774775,57,2.71588284
465,0.95710329,85,7.54007013
466,2.46501816,178,8.2696104
467,0.79275222,58,3.56589765
468,2.79892599,133,5.59091106
469,0.77168157,45,2.79272874
470,34.8508551,206,25.86310737
471,10.49467104,41,11.97283911
472,5.41243026,196,8.75126067
473,1.77836286,82,3.03590883
474,0.97767816,43,2.28455424
475,0.83514141,42,2.20398999
476,0.69607512,17,1.09393857
477,22.28060109,485,37.54145316
478,0.90653373,57,2.37280308
479,6.742608,61,4.70098596
480,0.36613353,43,2.05922223
481,0.99850092,69,3.21711642
482,0.13212537,50,3.61374042
483,0.29895534,105,3.93550164
484,2.03443323,70,3.53168883
485,0.23252082,42,4.00813341
486,11.98325049,333,28.3016013
487,1.1303784,98,3.05450058
488,4.6578531,117,7.11543456
489,0.84704013,42,1.92263484
490,1.58922279,74,4.58175087
491,0.46033173,35,0.9866022
492,4.45383963,108,8.51824407
493,89.45085861,720,52.92575445
494,1.63557822,44,3.08920518
495,1.02304203,445,12.70783296
496,21.70400895,2102,125.0394344
497,8.00114553,310,21.01214796
498,2.96327706,73,4.59067491
499,8.62805934,158,12.45077103
500,0.17426667,8,0.5577525
501,6.39952824,49,3.65960007
502,0.66880722,8,0.4536387
503,1.50494019,56,2.53864149
504,2.14994997,41,2.86238583
505,6.1055307,187,7.56213234
506,3.87997428,601,23.20671813
507,135.8102549,534,137.2953638
508,1.43974512,60,2.8953552
509,0.64401822,56,3.01359873
510,2.73769716,121,6.37944915
511,0.93603264,48,2.66828796
512,6.3980409,113,7.74309204
513,2.86387317,45,3.4357554
514,12.03332427,321,22.71812694
515,2.6995221,116,5.69576853
516,13.53702501,39,7.82563941
517,0.62393913,116,3.66232686
518,12.44209488,120,7.55271252
519,0.17748924,45,3.03342993
520,0.69433989,18,1.10087949
521,2.99624643,106,5.5081158
522,5.67891201,295,19.77046695
523,2.03492901,51,2.70001788
524,0.37059555,18,1.30117461
525,8.42404587,317,20.27517099
526,3.47194734,112,6.83085684
527,4.97911854,52,4.52771085
528,14.96338407,474,22.41495747
529,1.5468336,20,1.1130261
530,0.34109664,84,3.79990581
531,5.32442931,443,17.92443012
532,0.14600721,43,2.53938516
533,2.14970208,44,2.16284025
534,1.46131155,53,1.89164859
535,1.37727684,32,1.46304678
536,0.28780029,30,0.96453999
537,0.19905567,50,1.21862724
538,3.81453132,41,1.83983958
539,19.31831559,1061,57.1113771
540,2.98038147,38,2.07632664
541,5.39953998,35,2.52500754
542,2.40502878,296,4.33683555
543,2.31083058,60,3.68314962
544,0.8081214,74,3.45930495
545,21.21417831,209,20.58899973
546,0.93231429,34,2.01708093
547,4.29023223,295,15.56302998
548,2.91097227,80,3.63877731
549,1.53667011,34,2.2434045
550,0.31333296,91,3.62092923
551,0.09940389,2,0.08106003
552,9.87519393,233,9.9800514
553,0.79176066,127,4.38120786
554,1.86462858,87,3.52920993
555,1.23077385,14,2.00741322
556,4.06589178,663,32.82261912
557,4.48011597,92,5.17470375
558,4.33039041,81,6.41935944
559,0.79151277,86,5.69229807
560,3.73495863,61,3.66480576
561,4.16157732,19,3.0763149
562,0.88794198,67,2.54954865
563,2.92658934,60,3.77462103
564,1.21441311,54,2.79595131
565,2.62540299,20,1.42437594
566,1.27638561,61,2.10904812
567,1.95386898,117,6.2418702
568,1.31852691,46,7.90223742
569,2.83239114,161,6.80408472
